_id,ltable_ID,rtable_ID,ltable_shop name,ltable_postal code,ltable_street address,ltable_phone number,rtable_shop name,rtable_postal code,rtable_street address,rtable_phone number
95,80,1822,palm thai restaurant,90028.0,5900 hollywood blvd,3234625073.0,palm's thai restaurant,90028.0,5900 hollywood blvd,3234625073.0
96,81,1147,pailin thai cuisine,90028.0,5621 hollywood blvd,3234676775.0,pailin thai cuisine,90028.0,5621 hollywood blvd,3234676775.0
97,82,1694,r.o.c. kitchen,90025.0,2049 sawtelle blvd,,roc sawtelle,90025.0,2049 sawtelle blvd,3102352089.0
98,83,1718,ekkamai thai restaurant,90066.0,13223 w washington blvd,3108272777.0,ekkamai thai restaurant,90066.0,13223 w washington blvd,3108272777.0
99,84,1929,hide sushi,90025.0,2040 sawtelle blvd,3104777242.0,hide sushi japanese restaurant,90025.0,2040 sawtelle blvd,3104777242.0
100,88,2263,orochon ramen,,123 astronaut e s onizuka st,2136171766.0,orochon ramen,90012.0,123 astronaut e s onizuka st,2136171766.0
101,89,1461,park's bbq,90006.0,955 s vermont ave,2133801717.0,park's bbq,90006.0,955 s vermont ave,2133801717.0
102,89,2122,park's bbq,90006.0,955 s vermont ave,2133801717.0,j bbq,90006.0,901 s vermont ave,2133819292.0
103,91,1757,hollywood thai restaurant,90027.0,5241 hollywood blvd,3234670926.0,boran thai restaurant,90027.0,5401 hollywood blvd,3234698883.0
104,91,2009,hollywood thai restaurant,90027.0,5241 hollywood blvd,3234670926.0,hollywood thai,90027.0,5241 hollywood blvd,3234670926.0
105,91,2205,hollywood thai restaurant,90027.0,5241 hollywood blvd,3234670926.0,lacha somtum thai restaurant,90027.0,5171 hollywood blvd,3234867380.0
106,92,1313,night + market,90026.0,3322 w sunset blvd,3102759724.0,night + market song,90026.0,3322 w sunset blvd,3236655899.0
107,94,1718,fin the restaurant,90066.0,12223 w washington blvd,3103988611.0,ekkamai thai restaurant,90066.0,13223 w washington blvd,3108272777.0
108,96,1960,kabuki japanese restaurant,90045.0,6081 center dr ste 203,3106415524.0,kabuki japanese restaurant,90045.0,6081 center dr,3106415524.0
109,97,1996,kazunori,90013.0,421 s main st,2134936956.0,kazunori,90013.0,421 s main st,2134936956.0
110,100,1112,bao dim sum house,90048.0,8256 beverly blvd,3236556556.0,bao dim sum house,90048.0,8256 beverly blvd,3236556556.0
111,102,1372,sushi enya,90012.0,343 e 1st st,,sushi enya,90012.0,343 e 1st st,2136263692.0
112,102,1712,sushi enya,90012.0,343 e 1st st,,mitsuru sushi & grill,90012.0,316 e 1st st,2136264046.0
113,102,2283,sushi enya,90012.0,343 e 1st st,,toshi sushi,90012.0,359 e 1st st,2136804166.0
114,102,2332,sushi enya,90012.0,343 e 1st st,,tamon sushi,90012.0,328 e 1st st,2136177839.0
115,105,1966,shabu shabu house restaurant,90012.0,127 japanese village plaza mall,2136803890.0,shabu shabu house,90012.0,127 japanese village plaza mall,2136803890.0
116,106,2377,hurry curry of tokyo,90025.0,2131 sawtelle blvd,3104731640.0,hurry curry of tokyo,90025.0,2131 sawtelle blvd,3104731640.0
117,109,1848,blossom restaurant,90013.0,426 s main st,2136231973.0,blossom restaurant,90013.0,426 s main st,2136231973.0
118,111,1827,ruen pair,90027.0,5257 hollywood blvd,3234660153.0,ruen pair,90027.0,5257 hollywood blvd,3234660153.0
119,112,1423,singapore's banana leaf,90036.0,6333 w 3rd st,3239334627.0,singapore's banana leaf,90036.0,6333 w 3rd st,3239334627.0
120,112,4589,singapore's banana leaf,90036.0,6333 w 3rd st,3239334627.0,the coffee bean & tea leaf,90036.0,5979 w 3rd st,3239347277.0
121,113,1001,l a rose cafe,90029.0,4749 fountain ave,3236624024.0,la rose cafe,90029.0,4749 fountain ave,3236624024.0
122,114,2172,golden dragon restaurant,90012.0,960 n broadway,2136265916.0,golden dragon restaurant,90012.0,960 n broadway,2136262039.0
123,114,2284,golden dragon restaurant,90012.0,960 n broadway,2136265916.0,golden city seafood restaurant,90012.0,960 n hill st,2132532660.0
124,117,1836,beverly soon tofu,90006.0,2717 w olympic blvd ste 108,2133801113.0,beverly soon tofu restaurant,90006.0,2717 w olympic blvd,2133801113.0
125,119,1306,sanamluang cafe,90027.0,5176 hollywood blvd,3236608006.0,sanamluang cafe,90027.0,5176 hollywood blvd,3236608006.0
126,120,2069,ham ji park,90019.0,4135 w pico blvd,3237338333.0,ham ji park,90019.0,4135 w pico blvd,3237338333.0
127,121,2008,hoy's wok restaurant,90029.0,7105 west sunset blvd,3238506637.0,hoy's wok,90046.0,7105 w sunset blvd,3238506637.0
128,122,2052,bugis street brasserie,,501 s. olive st.,2136241100.0,bugis street brasserie,90013.0,501 s olive st,2136241100.0
129,123,1710,sushi zo,90034.0,9824 national blvd,3108423977.0,sushi zo,90034.0,9824 national blvd,4242015576.0
130,125,1937,seoul house of tofu,90025.0,2101 sawtelle blvd,3104449988.0,seoul house of tofu,90025.0,2101 sawtelle blvd,3104449988.0
131,126,1365,phoenix inn chinese cuisine,90012.0,301 ord street,2136292812.0,phoenix inn chinese cuisine,90012.0,301 ord st,2136292812.0
132,127,1485,soot bull jeep,90005.0,3136 w 8th st,2133873865.0,soot bull jeep,90005.0,3136 w 8th st,2133873865.0
133,129,2436,maruya,90012.0,104 japanese village plaza mall,2136139988.0,maruya,90012.0,104 japanese village plaza mall,2136139988.0
134,131,2074,ahgassi gopchang,90020.0,3744 w 6th st,2132499678.0,ahgassi gopchang,90005.0,3744 w 6th st,2132499678.0
135,133,1938,soi 7 @ maison metro,90014.0,518 w 7th st,2135370333.0,soi 7,90014.0,518 w 7th st,2135370333.0
136,136,2186,chinese friends restaurant,90012.0,984 n broadway,2139729089.0,chinese friends restaurant,90012.0,984 n broadway,2136261837.0
137,137,1905,curry house,,123 astronaut e s onizuka st,2136877344.0,curry house,90012.0,123 s onizuka st,2136200855.0
